"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.ProjectCreationTest","com.example.teamcity.api.ProjectCreationTest","project_create_negative_name_null","project_create_negative_name_null",""
"failed","Sun Jun 02 10:04:17 GMT 2024","Sun Jun 02 10:04:17 GMT 2024","623","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserCreateNewBuildConfigByManualEmptyID","authorizedUserCreateNewBuildConfigByManualEmptyID",""
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.ProjectCreationTest","com.example.teamcity.api.ProjectCreationTest","project_create_negative_name_duplicate","project_create_negative_name_duplicate",""
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfig_create_negative_name_duplicate","buildConfig_create_negative_name_duplicate",""
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.ProjectCreationTest","com.example.teamcity.api.ProjectCreationTest","project_create_negative_name_0symbol","project_create_negative_name_0symbol",""
"failed","Sun Jun 02 10:04:18 GMT 2024","Sun Jun 02 10:04:18 GMT 2024","21","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserCreateNewProjectManuallyEmptyID","authorizedUserCreateNewProjectManuallyEmptyID",""
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.ProjectCreationTest","com.example.teamcity.api.ProjectCreationTest","project_create_positive_name_1symbol","project_create_positive_name_1symbol",""
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfig_create_positive_name_255symbols","buildConfig_create_positive_name_255symbols",""
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.ProjectCreationTest","com.example.teamcity.api.ProjectCreationTest","project_create_positive_name_255symbols","project_create_positive_name_255symbols",""
"failed","Sun Jun 02 10:04:17 GMT 2024","Sun Jun 02 10:04:17 GMT 2024","28","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserShouldBeAbleCreateNewBuildConfigByEmptyUrl","authorizedUserShouldBeAbleCreateNewBuildConfigByEmptyUrl",""
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.ProjectCreationTest","com.example.teamcity.api.ProjectCreationTest","project_create_negative_id_startsUnderscore","project_create_negative_id_startsUnderscore",""
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdmin_ShouldNotHaveRightToCreateBuildConfigToAnotherProject","projectAdmin_ShouldNotHaveRightToCreateBuildConfigToAnotherProject",""
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.ProjectCreationTest","com.example.teamcity.api.ProjectCreationTest","project_create_negative_id_duplicate","project_create_negative_id_duplicate",""
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfig_create_id_226symbols","buildConfig_create_id_226symbols",""
"failed","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","5","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","setup","setup",""
"skipped","Sun Jun 02 10:04:16 GMT 2024","Sun Jun 02 10:04:16 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdmin_ShouldHaveRightsToCreateProject","systemAdmin_ShouldHaveRightsToCreateProject",""
