"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 02 09:32:58 GMT 2024","Sun Jun 02 09:32:58 GMT 2024","20","UI Suite","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserCreateNewProjectUrlPrivateReposWithoutCred","authorizedUserCreateNewProjectUrlPrivateReposWithoutCred",""
"skipped","Sun Jun 02 09:32:56 GMT 2024","Sun Jun 02 09:32:56 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdmin_ShouldHaveRightsToCreateBuildConfigToHisProject","projectAdmin_ShouldHaveRightsToCreateBuildConfigToHisProject",""
"failed","Sun Jun 02 09:32:56 GMT 2024","Sun Jun 02 09:32:56 GMT 2024","4","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","setup","setup",""
"skipped","Sun Jun 02 09:32:56 GMT 2024","Sun Jun 02 09:32:56 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.ProjectCreationTest","com.example.teamcity.api.ProjectCreationTest","project_create_negative_name_0symbol","project_create_negative_name_0symbol",""
"skipped","Sun Jun 02 09:32:56 GMT 2024","Sun Jun 02 09:32:56 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfig_create_negative_name_null","buildConfig_create_negative_name_null",""
"skipped","Sun Jun 02 09:32:56 GMT 2024","Sun Jun 02 09:32:56 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.ProjectCreationTest","com.example.teamcity.api.ProjectCreationTest","project_create_negative_name_null","project_create_negative_name_null",""
"skipped","Sun Jun 02 09:32:56 GMT 2024","Sun Jun 02 09:32:56 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdmin_ShouldHaveRightsToCreateProject","systemAdmin_ShouldHaveRightsToCreateProject",""
"skipped","Sun Jun 02 09:32:56 GMT 2024","Sun Jun 02 09:32:56 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.ProjectCreationTest","com.example.teamcity.api.ProjectCreationTest","project_create_negative_id_startsByNumeric","project_create_negative_id_startsByNumeric",""
"broken","Sun Jun 02 09:32:09 GMT 2024","Sun Jun 02 09:32:11 GMT 2024","1069","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTest","com.example.teamcity.ui.SetupTest","StartUpPage","StartUpPage",""
"skipped","Sun Jun 02 09:32:56 GMT 2024","Sun Jun 02 09:32:56 GMT 2024","1","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfig_create_negative_id_underscores","buildConfig_create_negative_id_underscores",""
